# FinSim v1.27 Save File
# Parameters
StartCountry,IE
StartingAge,30
TargetAge,90
InitialSavings,20000
InitialPension,0
InitialCapital_indexFunds_ie,0
InitialCapital_shares_ie,0
RetirementAge,65
EmergencyStash,20000
InvestmentAllocation_ie_indexFunds,50%
InvestmentAllocation_ie_shares,50%
P1PensionContrib_ie,30%
PensionCapped_ie,Yes
PensionGrowth_ie,5%
PensionVolatility_ie,10%
GlobalAssetGrowth_globalEquity,7%
GlobalAssetVolatility_globalEquity,15%
LocalAssetGrowth_ie_shares,6%
LocalAssetVolatility_ie_shares,15%
Inflation_ie,3%
MarriageYear,2025
YoungestChildBorn,0
OldestChildBorn,2027
TaxCredit_personal_ie,4000
StatePension_ie,289
Priority_cash,4
Priority_pension,3
Priority_indexFunds,1
Priority_shares,2
P2StartingAge,28
P2RetirementAge,65
P2StatePension_ie,270
InitialPensionP2,0
P2PensionContrib_ie,25%
simulation_mode,couple

# Events
Type,Name,Amount,FromAge,ToAge,Rate,Extra
SI2np,Your Partner,30000,28,62,0.02,0
SI,You,40000,30,64,0.035,0.03
E,Life,40000,30,100,,
E,Kid,6000,32,52,,
R,Family House,40000,35,65,,
M,Family House,18000,35,60,0.035,
R,Downsize,280000,65,100,,
SM,Crash,,70,72,-0.25,
