# FinSim Save File
# Parameters
StartCountry,xx
StartingAge,30
TargetAge,90
InitialSavings,14000
InitialPension,0
RetirementAge,65
EmergencyStash,20000
PensionGrowth_xx,6%
PensionVolatility_xx,12%
MarriageYear,2025
YoungestChildBorn,0
OldestChildBorn,2027
P2StartingAge,28
P2RetirementAge,65
InitialPensionP2,0
simulation_mode,couple
economy_mode,montecarlo
Inflation_xx,3%
Priority_cash,4
Priority_pension,3
Priority_indexFunds,1
Priority_shares,2
InitialCapital_indexFunds_xx,0
InitialCapital_shares_xx,0
GlobalAssetGrowth_globalEquity,8%
GlobalAssetVolatility_globalEquity,18%
GlobalAssetGrowth_globalBonds,4%
GlobalAssetVolatility_globalBonds,6%
LocalAssetGrowth_xx_shares,9%
LocalAssetVolatility_xx_shares,22%
InvestmentAllocation_xx_indexFunds,50%
InvestmentAllocation_xx_shares,50%
StatePension_xx,1000
StatePension_ie,0
P2StatePension_xx,900
P2StatePension_ie,0
P1PensionContrib_xx,30%
P2PensionContrib_xx,25%
PensionCapped_xx,Yes
TaxCredit_personal_xx,1500
MixConfig_xx_indexFunds_asset1,globalEquity
MixConfig_xx_pensionP1_asset1,globalEquity
MixConfig_xx_pensionP1_asset2,globalBonds
MixConfig_xx_pensionP1_type,fixed
MixConfig_xx_pensionP2_asset1,globalEquity
MixConfig_xx_pensionP2_asset2,globalBonds
MixConfig_xx_pensionP2_type,fixed
MixConfig_xx_pensionP1_startAsset1Pct,50%
MixConfig_xx_pensionP1_startAsset2Pct,50%
MixConfig_xx_pensionP1_endAsset1Pct,50%
MixConfig_xx_pensionP1_endAsset2Pct,50%
MixConfig_xx_pensionP2_startAsset1Pct,50%
MixConfig_xx_pensionP2_startAsset2Pct,50%
MixConfig_xx_pensionP2_endAsset1Pct,50%
MixConfig_xx_pensionP2_endAsset2Pct,50%

# Events
Type,Name,Amount,FromAge,ToAge,Rate,Extra
SI2np,Your Partner,30000,28,62,0.02,0
SI,You,40000,30,64,0.03,0.03
E,Life,32000,30,100,,
E,Kid,6000,32,52,,
R,Family House,40000,35,65,,
M,Family House,18000,35,60,0.035,
R,Downsize,265000,65,100,,
SM,Crash,,70,72,-0.25,
